id,mouse3.num,mouse3.neg.score,mouse3.neg.p.value,mouse3.neg.fdr,mouse3.neg.rank,mouse3.neg.goodsgrna,mouse3.neg.lfc,mouse4.noLmnb2_1.num,mouse4.noLmnb2_1.neg.score,mouse4.noLmnb2_1.neg.p.value,mouse4.noLmnb2_1.neg.fdr,mouse4.noLmnb2_1.neg.rank,mouse4.noLmnb2_1.neg.goodsgrna,mouse4.noLmnb2_1.neg.lfc,mouse7.num,mouse7.neg.score,mouse7.neg.p.value,mouse7.neg.fdr,mouse7.neg.rank,mouse7.neg.goodsgrna,mouse7.neg.lfc,mouse8.num,mouse8.neg.score,mouse8.neg.p.value,mouse8.neg.fdr,mouse8.neg.rank,mouse8.neg.goodsgrna,mouse8.neg.lfc,mean.sgrnas,median.lfc.all,p.wilcox,p.wilcox.bh
Adam8,5,0.37269,0.31413,0.955823,2936,0,0.047046,5,0.0022588,0.010824,0.504773,271,1,0.034841,5,0.98922,0.97552,0.993381,12969,0,0.32947,5,0.72272,0.5982,0.930684,8299,0,-0.10926,5,0.0409435,0.474039388,0.772976819
Zbtb43,5,0.89537,0.80871,0.955823,11158,0,0.082361,5,0.65924,0.60269,0.950762,8173,0,-0.20368,5,0.81796,0.72705,0.963396,9960,0,-0.00049573,5,0.51293,0.40247,0.930684,5101,0,0.10576,5,0.040932635,0.919014529,0.975004
Pja1,5,0.34985,0.30227,0.955823,2656,0,-0.20208,5,0.59069,0.53592,0.950762,7217,0,0.37974,5,0.93885,0.89037,0.97955,11996,0,0.0237,5,0.086086,0.12323,0.930684,1130,1,0.058165,5,0.0409325,0.580178538,0.839553336
Rarb,5,0.61865,0.50714,0.955823,6445,0,0.071109,5,0.37518,0.3466,0.950762,4447,1,0.037037,5,0.46729,0.39768,0.962198,4527,0,-0.11327,5,0.20152,0.18044,0.930684,1561,1,0.044825,5,0.040931,0.879396633,0.965508789
Krt10,5,0.51085,0.42574,0.955823,4818,0,-0.01798,5,0.89771,0.85423,0.970073,11618,0,0.099838,5,0.79163,0.69749,0.963396,9534,0,-0.022903,5,0.77445,0.64941,0.930684,9134,0,0.20255,5,0.040929,0.402811124,0.723592112
Plagl2,5,0.5851,0.48307,0.955823,5943,0,-0.16545,5,0.94468,0.90847,0.971497,12352,0,0.20127,5,0.41902,0.36121,0.962198,3883,0,-0.019027,5,0.8264,0.7112,0.93447,10001,0,0.10085,5,0.0409115,0.665413439,0.882530613
Mcat,5,0.97693,0.94819,0.98714,12684,0,0.10163,5,0.89357,0.84822,0.968343,11561,0,0.21742,5,0.54887,0.45845,0.962198,5708,0,-0.019814,5,0.5966,0.47846,0.930684,6291,0,-0.18709,5,0.040908,0.668525045,0.883836801
Dnajc12,5,0.80153,0.68647,0.955823,9438,0,-0.14314,5,0.63313,0.57512,0.950762,7801,0,0.082923,5,0.51375,0.43291,0.962198,5202,0,0.091741,5,0.87571,0.77446,0.939554,10878,0,-0.0011467,5,0.04088815,0.875028603,0.963871141
Cfap43,5,0.4662,0.38928,0.955823,4190,0,-0.1035,5,0.67104,0.61283,0.950762,8336,0,-0.15095,5,0.16334,0.18952,0.962198,1321,1,0.18522,5,0.20645,0.18566,0.930684,1595,1,0.28803,5,0.04086,0.574322757,0.836394339
Gstp1,5,0.97905,0.95258,0.987707,12721,0,0.10084,5,0.9262,0.88763,0.970202,12068,0,0.1998,5,0.56547,0.47566,0.962198,5949,0,-0.019132,5,0.75066,0.62486,0.930684,8754,0,-0.053919,5,0.040854,0.470998129,0.770300061
