id,mouse3.num,mouse3.pos.score,mouse3.pos.p.value,mouse3.pos.fdr,mouse3.pos.rank,mouse3.pos.goodsgrna,mouse3.pos.lfc,mouse4.noLmnb2_1.num,mouse4.noLmnb2_1.pos.score,mouse4.noLmnb2_1.pos.p.value,mouse4.noLmnb2_1.pos.fdr,mouse4.noLmnb2_1.pos.rank,mouse4.noLmnb2_1.pos.goodsgrna,mouse4.noLmnb2_1.pos.lfc,mouse7.num,mouse7.pos.score,mouse7.pos.p.value,mouse7.pos.fdr,mouse7.pos.rank,mouse7.pos.goodsgrna,mouse7.pos.lfc,mouse8.num,mouse8.pos.score,mouse8.pos.p.value,mouse8.pos.fdr,mouse8.pos.rank,mouse8.pos.goodsgrna,mouse8.pos.lfc,mean.sgrnas,median.lfc.all,p.wilcox,p.wilcox.bh
Rmdn3,5,0.5162,0.62391,1,6353,0,-0.13234,5,0.12189,0.24728,1,2591,2,0.02388,5,0.020865,0.058929,1,516,2,0.19305,5,0.51776,0.64505,1,6379,0,-0.0035705,5,0.01015475,0.808893739,0.938830462
Zfp180,5,0.5207,0.6277,1,6408,0,-0.3965,5,0.92161,0.9529,1,11788,0,0.071685,5,0.32909,0.42205,1,4113,0,0.19807,5,0.03944,0.10711,1,918,2,-0.051376,5,0.0101545,0.990675346,0.997409307
Egfr,5,0.90794,0.95353,1,11064,0,-0.040444,5,0.24355,0.38054,1,4011,1,-0.20529,5,0.74177,0.81333,1,9206,0,0.060726,5,0.76756,0.86806,1,9406,0,0.085382,5,0.010141,0.838643471,0.94720736
Msrb3,5,0.074768,0.11548,1,1055,1,-0.088673,5,0.076141,0.17875,1,1803,1,0.032419,5,0.41649,0.51184,1,5196,0,0.25688,5,0.16153,0.23569,1,2141,1,-0.012168,5,0.0101255,0.639875506,0.871487427
Krtcap3,5,0.32269,0.41401,1,3958,0,0.07847,5,0.43546,0.5162,1,5760,1,-0.11267,5,0.042559,0.10541,1,941,1,0.18068,5,0.73688,0.84638,1,9068,0,-0.058258,5,0.010106,0.777519521,0.926725842
Esam,5,0.36237,0.45785,1,4458,0,0.13796,5,0.73767,0.7996,1,9418,0,-0.22052,5,0.44754,0.54869,1,5602,0,-0.11777,5,0.58891,0.71445,1,7280,0,0.23291,5,0.010095,0.829942728,0.945662531
Mmp23,5,0.45666,0.56131,1,5636,0,0.0099688,5,0.44975,0.52588,1,5905,1,0.010104,5,0.068147,0.13798,1,1169,1,0.21382,5,0.75485,0.86003,1,9269,0,-0.054516,5,0.0100364,0.614584448,0.859351195
Fhit,5,0.69424,0.78964,1,8498,0,-0.11518,5,0.61898,0.69382,1,7876,0,-0.078703,5,0.62742,0.71433,1,7822,0,0.13144,5,0.66762,0.78616,1,8214,0,0.098667,5,0.009982,0.88666752,0.967619978
Arl6ip1,5,0.79116,0.87202,1,9643,0,-0.068374,5,0.023122,0.079461,1,789,2,0.074951,5,0.56182,0.65888,1,7008,0,-0.055034,5,0.44019,0.56172,1,5403,0,0.12643,5,0.0099585,0.800306598,0.936177983
Ngef,5,0.25472,0.3335,1,3132,0,0.012734,5,0.78373,0.84479,1,10011,0,0.0071656,5,0.31758,0.40966,1,3977,0,-0.23103,5,0.54982,0.67595,1,6797,0,0.20362,5,0.0099498,0.923257224,0.975954262
Trim21,5,0.22182,0.29149,1,2744,0,-0.083289,5,0.79986,0.85655,1,10217,0,0.0023238,5,0.49908,0.5987,1,6257,0,0.16763,5,0.43382,0.55491,1,5323,0,0.017553,5,0.0099384,0.759373222,0.920608966
Rtn4rl2,5,0.42185,0.52515,1,5204,0,-0.016519,5,0.40442,0.4882,1,5449,1,0.23015,5,0.61432,0.70609,1,7646,0,-0.15982,5,0.1739,0.25167,1,2273,1,0.03639,5,0.0099355,0.794700505,0.934259393
Rsad1,5,0.88878,0.94202,1,10846,0,-0.0065218,5,0.23612,0.37611,1,3954,1,0.026369,5,0.92234,0.95896,1,11409,0,-0.16714,5,0.47498,0.59705,1,5843,0,0.2837,5,0.0099236,0.757988439,0.919668501
Pgm5,5,0.5829,0.68827,1,7155,0,0.20212,5,0.93125,0.95948,1,11927,0,-0.077856,5,0.10203,0.17642,1,1518,1,0.092927,5,0.84564,0.92193,1,10362,0,-0.073131,5,0.009898,0.663223271,0.881744544
Atf7,5,0.90581,0.9522,1,11038,0,-0.14041,5,0.65236,0.72544,1,8285,0,0.022359,5,0.40675,0.50431,1,5078,0,0.21658,5,0.018881,0.059537,1,488,1,-0.0026198,5,0.0098696,0.785674739,0.929939238
Tmem8b,5,0.90984,0.9549,1,11084,0,-0.18351,5,0.24677,0.38172,1,4037,1,0.30098,5,0.29983,0.39163,1,3745,0,-0.087687,5,0.73223,0.84286,1,9007,0,0.10742,5,0.0098665,0.741234605,0.913097059
